C_O,t_s,T_C,X_VGO,Light_Gases,Gasoline,Light_Cycle_Oil,Coke
1,5,510,28.99,3.88,16.63,7.15,1.31
1,5,530,38.61,6.16,23.01,6.02,3.41
1,5,550,36.80,10.13,20.33,4.69,1.64
2,5,510,58.66,8.37,39.14,9.21,1.93
2,5,530,62.34,9.38,42.77,8.00,2.18
2,5,550,64.33,14.34,39.62,8.31,2.04
3,2,510,52.28,7.04,28.82,13.69,2.72
3,2,530,51.77,7.82,28.10,13.09,2.76
3,2,550,60.91,10.96,31.71,15.67,2.57
3,3,510,59.54,7.89,33.73,15.16,2.74
3,3,530,65.44,10.74,43.95,7.71,3.02
3,3,550,69.27,13.71,41.09,11.26,3.19
3,5,510,68.32,10.12,46.69,8.28,3.23
3,5,530,68.93,11.74,45.90,8.48,2.76
3,5,550,73.70,15.20,46.92,8.54,3.04
5,2,510,56.01,8.09,36.84,6.66,4.42
5,2,530,55.37,9.69,31.42,10.45,3.79
5,2,550,61.45,12.33,35.92,9.28,3.92
5,3,510,72.53,10.90,48.63,8.82,4.17
5,3,530,63.92,10.89,37.50,11.07,4.33
5,3,550,73.34,16.03,43.54,8.98,4.38
5,5,510,77.88,11.20,53.24,8.85,4.59
5,5,530,73.62,14.50,45.97,8.59,4.54
5,5,550,79.22,17.78,47.91,8.86,4.69
7,2,510,54.25,9.22,33.35,7.33,4.33
7,2,530,58.95,10.10,33.90,8.50,6.43
7,2,550,65.06,12.12,38.14,9.30,5.49
7,3,510,67.32,11.44,40.83,8.59,6.45
7,3,530,68.60,11.92,40.76,7.63,8.28
7,3,550,79.24,15.26,48.40,9.04,6.53
7,5,510,81.44,13.70,52.96,8.77,6.01
7,5,530,81.81,14.98,50.55,9.58,6.70
7,5,550,82.90,17.59,49.63,9.37,6.30
